iter	Logloss
0	0.6926757885
1	0.6921561753
2	0.6916601925
3	0.691163211
4	0.6906807549
5	0.6901907333
6	0.6896870548
7	0.6892175329
8	0.6887187347
9	0.6882389463
10	0.687755977
11	0.6872893586
12	0.6868174783
13	0.6863387115
14	0.6858713195
15	0.6853942354
16	0.6849330036
17	0.6844925371
18	0.6840497609
19	0.683591115
20	0.6831190516
21	0.6826740569
22	0.6822192707
23	0.6817659743
24	0.681318151
25	0.6808607891
26	0.6804128681
27	0.6799725397
28	0.6795374955
29	0.6791056689
30	0.6786983751
31	0.6782775305
32	0.6778539427
33	0.677424649
34	0.6769981772
35	0.6765878585
36	0.6761656516
37	0.6757362459
38	0.6753303555
39	0.6749156628
40	0.6745246684
41	0.6741461035
42	0.6737432279
43	0.6733338716
44	0.6729282298
45	0.6725414539
46	0.6721429203
47	0.6717453895
48	0.6713523304
49	0.6709829051
50	0.6706041829
51	0.670223664
52	0.6698499255
53	0.6694669484
54	0.6691033687
55	0.6687386418
56	0.6683655566
57	0.6679901375
58	0.6676188412
59	0.6672612892
60	0.6669014353
61	0.6665244476
62	0.6661782033
63	0.6658133291
64	0.6654650606
65	0.6651114948
66	0.6647753448
67	0.6644145559
68	0.6640640215
69	0.6637164385
70	0.6633840341
71	0.6630582584
72	0.6627105114
73	0.6623762337
74	0.6620441898
75	0.6616995075
76	0.6613690928
77	0.6610278607
78	0.6606890798
79	0.6603801616
80	0.6600442321
81	0.6597182315
82	0.6594042856
83	0.6590825394
84	0.6587640107
85	0.6584584829
86	0.6581536742
87	0.657844487
88	0.6575324756
89	0.6572317168
90	0.6569170781
91	0.6566217514
92	0.6563075073
93	0.6559875178
94	0.6557051378
95	0.6553976576
96	0.6550950683
97	0.6547939431
98	0.6545109429
99	0.6542207458
100	0.6539216595
101	0.6536265054
102	0.6533255346
103	0.6530313106
104	0.652732105
105	0.6524351006
106	0.6521572877
107	0.6518705644
108	0.6515859913
109	0.6513097812
110	0.6510247283
111	0.6507519205
112	0.6504787393
113	0.650217371
114	0.6499482399
115	0.6496832947
116	0.6494284564
117	0.6491692249
118	0.6489031945
119	0.6486354006
120	0.6483662871
121	0.6481132694
122	0.6478572253
123	0.6475931911
124	0.6473273836
125	0.6470747086
126	0.6468260775
127	0.6465676726
128	0.6462967192
129	0.6460388544
130	0.6457898379
131	0.6455420725
132	0.645298466
133	0.6450407813
134	0.6448052227
135	0.6445646603
136	0.6443369958
137	0.6440992202
138	0.6438489173
139	0.6436222061
140	0.64338296
141	0.6431504167
142	0.6429097506
143	0.6426899492
144	0.6424595594
145	0.6422284725
146	0.6420074454
147	0.6417839726
148	0.6415473466
149	0.641318218
150	0.6410904571
151	0.6408717441
152	0.6406373234
153	0.6404127321
154	0.6402129182
155	0.6399882386
156	0.6397635304
157	0.6395490969
158	0.6393312468
159	0.639112906
160	0.6388976243
161	0.6386809595
162	0.6384775718
163	0.6382707855
164	0.6380648057
165	0.6378581458
166	0.6376469375
167	0.6374368484
168	0.637258549
169	0.6370683142
170	0.6368659793
171	0.6366623559
172	0.6364671684
173	0.6362769747
174	0.6360814181
175	0.6358747777
176	0.6356817679
177	0.6354804734
178	0.6352905036
179	0.6351064801
180	0.6349316004
181	0.6347307201
182	0.6345645385
183	0.6343886538
184	0.634211689
185	0.634033603
186	0.6338494024
187	0.6336560896
188	0.633469271
189	0.6332894313
190	0.6330965586
191	0.6329147438
192	0.6327335604
193	0.6325634689
194	0.6323866352
195	0.6322031162
196	0.6320212184
197	0.6318518168
198	0.6316907364
199	0.63151699
200	0.6313353246
201	0.6311607941
202	0.631036498
203	0.6308642901
204	0.6306916555
205	0.6305290169
206	0.6303507466
207	0.6302017868
208	0.6300410703
209	0.6298778168
210	0.6297053925
211	0.6295449243
212	0.6293868929
213	0.6292313232
214	0.629082758
215	0.6289206737
216	0.6287577658
217	0.6285902131
218	0.6284308414
219	0.6282951386
220	0.6281465185
221	0.6279881717
222	0.6278525581
223	0.6276985933
224	0.6275458928
225	0.6273947629
226	0.6272277888
227	0.6270701964
228	0.6269239243
229	0.6268008688
230	0.6266499865
231	0.626504721
232	0.6263591748
233	0.6262095851
234	0.6260884884
235	0.6259439249
236	0.6257923447
237	0.6256450593
238	0.6254956161
239	0.625362864
240	0.6252184903
241	0.62507488
242	0.6249339436
243	0.6248006714
244	0.624669575
245	0.6245268766
246	0.6243817188
247	0.6242363093
248	0.6240921515
249	0.6239608644
250	0.6238215414
251	0.6236856601
252	0.623550068
253	0.623407235
254	0.6232715673
255	0.6231248413
256	0.6229976955
257	0.6228823614
258	0.6227532094
259	0.622643199
260	0.6225087022
261	0.6223944562
262	0.622260303
263	0.6221307146
264	0.6220065011
265	0.6218863561
266	0.6217659198
267	0.6216349684
268	0.6214980618
269	0.6213850359
270	0.6212613524
271	0.6211402516
272	0.6210336977
273	0.6209062298
274	0.6207850804
275	0.6206593369
276	0.6205406401
277	0.620426816
278	0.6203064621
279	0.6201845716
280	0.62006764
281	0.6199633336
282	0.6198747363
283	0.6197523168
284	0.6196334581
285	0.6195216014
286	0.6194000355
287	0.6192798981
288	0.6191693261
289	0.6190602723
290	0.6189485674
291	0.6188305777
292	0.6187192189
293	0.6186168156
294	0.6185134059
295	0.6184046128
296	0.6182997227
297	0.61819283
298	0.6180803979
299	0.617973504
300	0.6178778909
301	0.6177666389
302	0.6176629735
303	0.6175583919
304	0.6174446361
305	0.61734593
306	0.6172422689
307	0.6171431611
308	0.6170498786
309	0.6169424179
310	0.6168304617
311	0.6167227011
312	0.6166202442
313	0.616522477
314	0.6164208317
315	0.6163168098
316	0.6162159023
317	0.6161198644
318	0.6160196284
319	0.6159119856
320	0.6158084158
321	0.6157141537
322	0.6156099515
323	0.6155286744
324	0.6154360622
325	0.6153525652
326	0.6152577483
327	0.6151685636
328	0.6150775361
329	0.6149798141
330	0.614899393
331	0.6147932497
332	0.6147035886
333	0.6146112326
334	0.6145248344
335	0.6144307227
336	0.6143396732
337	0.6142571317
338	0.6141676964
339	0.6140684037
340	0.6139831345
341	0.6139241786
342	0.613835878
343	0.6137387297
344	0.6136624645
345	0.6135804581
346	0.6135153753
347	0.6134312965
348	0.6133400674
349	0.6132555758
350	0.6131668373
351	0.6130823642
352	0.6129883234
353	0.6129164666
354	0.6128336136
355	0.6127472599
356	0.6126614428
357	0.6125802359
358	0.6124937564
359	0.612407219
360	0.6123261153
361	0.6122525758
362	0.6121701468
363	0.6121164454
364	0.6120387488
365	0.6119616824
366	0.6118737246
367	0.6117876037
368	0.6117113314
369	0.6116377629
370	0.6115618543
371	0.6114873484
372	0.6114049685
373	0.6113234361
374	0.6112402379
375	0.6111586571
376	0.6110760514
377	0.6110047737
378	0.6109280727
379	0.6108544122
380	0.6107889002
381	0.6107070736
382	0.6106248684
383	0.6105557879
384	0.6104815612
385	0.6104069771
386	0.6103514479
387	0.610283378
388	0.6102085067
389	0.610139019
390	0.6100625472
391	0.6099912792
392	0.6099176292
393	0.6098429219
394	0.609762206
395	0.6096957926
396	0.6096252677
397	0.6095531187
398	0.6094929386
399	0.6094274277
400	0.6093542879
401	0.6092873497
402	0.6092158602
403	0.6091437539
404	0.6090804101
405	0.6090137862
406	0.6089477031
407	0.6088839689
408	0.6088181279
409	0.6087468575
410	0.6086877908
411	0.6086254354
412	0.6085559614
413	0.6084890591
414	0.6084328085
415	0.6083627528
416	0.6082928573
417	0.6082295429
418	0.6081699475
419	0.6081012474
420	0.6080442405
421	0.6079784396
422	0.6079259292
423	0.607868804
424	0.6078077345
425	0.6077443518
426	0.6076857571
427	0.6076175299
428	0.6075629046
429	0.6075130488
430	0.6074427461
431	0.6073785427
432	0.6073225676
433	0.6072606078
434	0.6071991745
435	0.6071378554
436	0.6070783061
437	0.6070234283
438	0.606966849
439	0.6069098982
440	0.6068507255
441	0.606806434
442	0.6067411371
443	0.6066810166
444	0.6066243665
445	0.6065668976
446	0.6065003599
447	0.6064449123
448	0.606385368
449	0.6063288996
450	0.6062731399
451	0.6062123283
452	0.6061539659
453	0.6061091328
454	0.6060619442
455	0.606007259
456	0.6059460161
457	0.6058781161
458	0.605816837
459	0.6057571087
460	0.6057056923
461	0.6056506295
462	0.6055983673
463	0.6055542665
464	0.605505238
465	0.6054528989
466	0.6053876201
467	0.6053332171
468	0.6052868048
469	0.6052369851
470	0.6051837265
471	0.6051222771
472	0.6050642782
473	0.6050084283
474	0.6049540246
475	0.6049145698
476	0.604854351
477	0.6048050616
478	0.604751315
479	0.6047076487
480	0.6046567265
481	0.6046066921
482	0.6045598216
483	0.6045056942
484	0.6044533183
485	0.6044011209
486	0.6043516344
487	0.6043022119
488	0.6042433856
489	0.6041895935
490	0.6041424156
491	0.6040920317
492	0.6040429496
493	0.6039937499
494	0.6039418328
495	0.6038963403
496	0.6038553793
497	0.6038022751
498	0.603754286
499	0.6037059104
500	0.6036486921
501	0.6036028128
502	0.6035639103
503	0.603511153
504	0.6034631079
505	0.6034177448
506	0.6033727435
507	0.6033330247
508	0.6032867167
509	0.6032421725
510	0.6032014396
511	0.6031589818
512	0.6031138332
513	0.6030685569
514	0.6030390962
515	0.6029950134
516	0.6029476109
517	0.6028941768
518	0.6028474785
519	0.6028023565
520	0.6027503976
521	0.6027108883
522	0.6026661002
523	0.6026176156
524	0.6025835274
525	0.6025444213
526	0.6025009866
527	0.6024564141
528	0.602410083
529	0.6023674554
530	0.6023198212
531	0.6022740969
532	0.6022224758
533	0.6021780516
534	0.6021405937
535	0.6021038736
536	0.6020673539
537	0.6020218633
538	0.6019859737
539	0.601943122
540	0.6019028029
541	0.6018587025
542	0.6018258371
543	0.6018008522
544	0.6017655276
545	0.6017246156
546	0.601691165
547	0.6016571711
548	0.6016134658
549	0.6015672487
550	0.6015359747
551	0.6014962027
552	0.6014538474
553	0.6014149653
554	0.601373824
555	0.6013295096
556	0.601293193
557	0.6012576025
558	0.6012217108
559	0.6011855475
560	0.601148454
561	0.6011050944
562	0.6010641564
563	0.6010298043
564	0.6009907954
565	0.6009508121
566	0.6009156237
567	0.6008797831
568	0.6008427914
