iter	Passed	Remaining
0	173	346186
1	351	350851
2	535	356568
3	728	363704
4	916	365488
5	1080	359180
6	1252	356696
7	1413	351859
8	1598	353567
9	1749	348249
10	1923	347766
11	2070	343031
12	2229	340813
13	2405	341270
14	2590	342806
15	2751	341141
16	2936	342584
17	3110	342484
18	3272	341163
19	3424	339059
20	3612	340405
21	3779	339825
22	3943	338958
23	4083	336242
24	4247	335534
25	4402	334238
26	4584	335028
27	4771	336055
28	4908	333587
29	5049	331613
30	5199	330232
31	5381	330954
32	5550	330853
33	5706	329946
34	5870	329565
35	6034	329206
36	6224	330253
37	6448	332938
38	6629	333349
39	6789	332664
40	6957	332438
41	7097	330856
42	7302	332340
43	7462	331732
44	7599	330146
45	7792	331011
46	8056	334763
47	8308	337877
48	8559	340790
49	8750	341277
50	8937	341556
51	9208	344962
52	9544	350608
53	9856	355210
54	10027	354597
55	10205	354292
56	10376	353720
57	10541	352971
58	10732	353097
59	11038	356912
60	11274	358372
61	11576	361851
62	11847	364255
63	12116	366510
64	12392	368913
65	12645	370556
66	12891	371921
67	13117	372677
68	13324	372897
69	13547	373528
70	13755	373722
71	14001	374938
72	14207	375051
73	14473	376712
74	14709	377532
75	14960	378727
76	15270	381368
77	15502	381985
78	15736	382660
79	15952	382864
80	16224	384374
81	16501	385969
82	16798	387992
83	17126	390646
84	17407	392191
85	17764	395353
86	18020	396239
87	18265	396851
88	18586	399095
89	18861	400280
90	19213	403062
91	19456	403506
92	19743	404855
93	20010	405744
94	20232	405717
95	20553	407643
96	20753	407156
97	21004	407662
98	21197	407041
99	21429	407157
100	21609	406307
101	21796	405591
102	21992	405041
103	22164	404084
104	22341	403215
105	22563	403161
106	22729	402127
107	22889	400991
108	23075	400322
109	23287	400125
110	23458	399211
111	23604	397902
112	23745	396532
113	23891	395263
114	24037	394005
115	24189	392863
116	24323	391467
117	24469	390273
118	24640	389477
119	24782	388265
120	24924	387048
121	25093	386275
122	25257	385427
123	25419	384574
124	25584	383774
125	25746	382926
126	25902	382014
127	26075	381355
128	26260	380884
129	26456	380561
130	26735	381446
131	26926	381055
132	27127	380802
133	27301	380183
134	27536	380414
135	27760	380486
136	27963	380261
137	28130	379557
138	28315	379105
139	28472	378282
140	28630	377481
141	28777	376544
142	28937	375780
143	29080	374814
144	29226	373897
145	29430	373727
146	29645	373696
147	29832	373303
148	29982	372465
149	30124	371531
150	30275	370721
151	30482	370598
152	30724	370908
153	30928	370737
154	31091	370088
155	31259	369505
156	31407	368683
157	31593	368327
158	31743	367551
159	31917	367054
160	32076	366389
161	32228	365656
162	32387	365005
163	32536	364246
164	32682	363469
165	32829	362711
166	32981	362002
167	33104	360997
168	33236	360093
169	33377	359299
170	33524	358572
171	33672	357873
172	33815	357113
173	33960	356386
174	34115	355776
175	34281	355282
176	34467	355000
177	34638	354555
178	34843	354464
179	34990	353790
180	35154	353294
181	35337	352989
182	35474	352227
183	35639	351746
184	35804	351267
185	35983	350932
186	36137	350357
187	36265	349537
188	36417	348955
189	36610	348762
190	36814	348681
191	36993	348356
192	37147	347798
193	37286	347106
194	37424	346416
195	37573	345827
196	37729	345306
197	37871	344672
198	38118	344980
199	38349	345143
200	38638	345827
201	38904	346290
202	39058	345756
203	39255	345606
204	39465	345564
205	39629	345118
206	39814	344870
207	39985	344487
208	40161	344158
209	40349	343927
210	40519	343554
211	40662	342942
212	40805	342342
213	40976	341978
214	41117	341374
215	41401	341941
216	41682	342486
217	41923	342696
218	42072	342148
219	42174	341230
220	42316	340640
221	42499	340376
222	42644	339814
223	42836	339634
224	43026	339434
225	43220	339263
226	43378	338812
227	43531	338327
228	43708	338024
229	43827	337282
230	43999	336947
231	44170	336608
232	44360	336417
233	44534	336104
234	44670	335501
235	44840	335166
236	45032	334985
237	45217	334762
238	45364	334255
